FXNAX,Fidelity U.S. Bond Index Fund
BRHYX,BlackRock High Yield Bond Fund
DODGX,Dodge & Cox Stock Fund
FXAIX,Fidelity 500 Index Fund
FSKAX,Fidelity Total Market Index Fund
JLGMX,JP Morgan Large Cap Growth Fund
WFPRX,Wells Fargo Special Mid Cap Value Fund
FSMDX,Fidelity Mid Cap Index Fund
MEFZX,MassMutual Select Mid Cap Growth Fund
DFFVX,DFA US Targeted Value Fund
FSSNX,Fidelity Small Cap Index Fund
JGMNX,Janus Henderson Triton Fund
RNPGX,American Funds New Perspective Fund
RERGX,American Funds EuroPacific Growth Fund
ODVIX,Invesco Oppenheimer Developing Markets Fund
CSZIX,Cohen & Steers Real Estate Securities Fund
OGMIX,Invesco Oppenheimer Gold & Special Minerals Fund
